iter	Passed	Remaining
388	2726	4282
389	2733	4276
390	2742	4270
391	2749	4264
392	2757	4258
393	2764	4252
394	2772	4246
395	2779	4240
396	2786	4232
397	2795	4228
398	2803	4222
399	2811	4216
400	2818	4210
401	2826	4205
402	2833	4197
403	2842	4193
404	2849	4186
405	2856	4179
406	2864	4173
407	2872	4167
408	2882	4164
409	2889	4158
410	2897	4152
411	2904	4144
412	2910	4137
413	2918	4130
414	2925	4123
415	2932	4117
416	2939	4110
417	2947	4103
418	2953	4096
419	2961	4089
420	2967	4081
421	2974	4073
422	2980	4066
423	2987	4058
424	2994	4051
425	3002	4045
426	3009	4038
427	3019	4035
428	3026	4028
429	3033	4021
430	3040	4013
431	3046	4005
432	3052	3996
433	3058	3989
434	3064	3980
435	3070	3972
436	3076	3964
437	3083	3955
438	3089	3947
439	3095	3939
440	3101	3931
441	3107	3923
442	3113	3915
443	3120	3907
444	3127	3900
445	3133	3892
446	3139	3884
447	3146	3876
448	3152	3869
449	3159	3861
450	3166	3854
451	3173	3847
452	3179	3839
453	3188	3834
454	3194	3826
455	3201	3819
456	3209	3813
457	3216	3806
458	3224	3801
459	3232	3794
460	3238	3786
461	3244	3778
462	3251	3771
463	3258	3764
464	3265	3757
465	3273	3750
466	3280	3743
467	3288	3737
468	3295	3730
469	3303	3725
470	3310	3718
471	3319	3712
472	3326	3706
473	3334	3700
474	3342	3694
475	3348	3686
476	3355	3679
477	3361	3671
478	3367	3662
479	3373	3655
480	3380	3648
481	3388	3641
482	3396	3635
483	3404	3629
484	3412	3623
485	3419	3616
486	3425	3608
487	3432	3601
488	3439	3594
489	3445	3586
490	3453	3579
491	3460	3572
492	3466	3564
493	3473	3557
494	3480	3550
495	3487	3543
496	3494	3536
497	3501	3529
498	3508	3522
499	3515	3515
500	3521	3507
501	3528	3500
502	3534	3492
503	3540	3484
504	3546	3476
505	3552	3468
506	3558	3459
507	3564	3452
508	3570	3444
509	3577	3436
510	3582	3428
511	3589	3420
512	3595	3412
513	3601	3405
514	3607	3396
515	3613	3389
516	3619	3381
517	3626	3374
518	3633	3367
519	3639	3359
520	3646	3352
521	3652	3344
522	3658	3336
523	3664	3328
524	3670	3321
525	3676	3313
526	3682	3305
527	3690	3299
528	3698	3292
529	3705	3285
530	3711	3278
531	3719	3271
532	3726	3264
533	3733	3258
534	3740	3251
535	3747	3244
536	3754	3237
537	3761	3229
538	3771	3225
539	3781	3221
540	3787	3213
541	3794	3206
542	3801	3199
543	3808	3192
544	3815	3185
545	3823	3179
546	3831	3172
547	3838	3165
548	3845	3159
549	3852	3152
550	3859	3145
551	3871	3141
552	3879	3135
553	3887	3129
554	3895	3123
555	3902	3116
556	3911	3110
557	3918	3103
558	3926	3097
559	3933	3090
560	3940	3083
561	3948	3077
562	3955	3070
563	3961	3062
564	3968	3055
565	3974	3047
566	3981	3040
567	3988	3033
568	3995	3026
569	4002	3019
570	4009	3012
571	4016	3005
572	4023	2998
573	4031	2992
574	4039	2985
575	4046	2978
576	4054	2972
577	4060	2964
578	4067	2957
579	4073	2949
580	4081	2943
581	4087	2935
582	4094	2928
583	4101	2921
584	4108	2914
585	4115	2907
586	4123	2901
587	4131	2894
588	4138	2887
589	4145	2880
590	4151	2873
591	4159	2866
592	4165	2859
593	4172	2851
594	4178	2844
595	4184	2836
596	4190	2828
597	4196	2821
598	4202	2813
599	4208	2805
600	4214	2797
601	4220	2790
602	4226	2782
603	4232	2775
604	4238	2767
605	4244	2759
606	4250	2752
607	4256	2744
608	4262	2736
609	4268	2729
610	4274	2721
611	4280	2713
612	4286	2706
613	4292	2698
614	4298	2690
615	4304	2683
616	4310	2675
617	4316	2668
618	4322	2660
619	4328	2652
620	4335	2645
621	4341	2638
622	4347	2630
623	4353	2623
624	4359	2615
625	4364	2607
626	4370	2600
627	4376	2592
628	4382	2585
629	4389	2577
630	4395	2570
631	4401	2562
632	4407	2555
633	4413	2548
634	4420	2540
635	4427	2534
636	4434	2527
637	4441	2519
638	4447	2512
639	4453	2505
640	4460	2498
641	4466	2490
642	4472	2483
643	4478	2475
644	4485	2468
645	4491	2461
646	4497	2453
647	4504	2446
648	4511	2439
649	4518	2433
650	4526	2426
651	4536	2421
652	4545	2415
653	4554	2409
654	4562	2402
655	4570	2396
656	4579	2390
657	4586	2384
658	4593	2376
659	4601	2370
660	4610	2364
661	4619	2358
662	4626	2351
663	4634	2345
664	4642	2338
665	4650	2332
666	4658	2325
667	4669	2320
668	4680	2315
669	4690	2310
670	4700	2304
671	4709	2298
672	4717	2292
673	4724	2285
674	4733	2279
675	4743	2273
676	4751	2267
677	4758	2259
678	4765	2252
679	4773	2246
680	4780	2239
681	4788	2232
682	4794	2225
683	4801	2218
684	4808	2211
685	4815	2204
686	4824	2198
687	4832	2191
688	4840	2184
689	4847	2177
690	4854	2170
691	4862	2164
692	4870	2157
693	4877	2150
694	4886	2144
695	4905	2142
696	4920	2139
697	4927	2131
698	4934	2124
699	4940	2117
700	4946	2109
701	4954	2103
702	4961	2095
703	4966	2088
704	4972	2080
705	4978	2073
706	4984	2065
707	4989	2057
708	4994	2049
709	4999	2042
710	5005	2034
711	5011	2027
712	5018	2019
713	5024	2012
714	5030	2005
715	5036	1997
716	5043	1990
717	5048	1983
718	5055	1975
719	5061	1968
720	5067	1961
721	5073	1953
722	5079	1946
723	5085	1938
724	5092	1931
725	5098	1924
726	5104	1916
727	5111	1909
728	5117	1902
729	5127	1896
730	5134	1889
731	5141	1882
732	5148	1875
733	5154	1868
734	5161	1860
735	5167	1853
736	5173	1846
737	5180	1839
738	5186	1831
739	5192	1824
740	5199	1817
741	5205	1810
742	5211	1802
743	5218	1795
744	5225	1788
745	5231	1781
746	5237	1773
747	5243	1766
748	5250	1759
749	5256	1752
750	5262	1744
751	5269	1737
752	5276	1730
753	5283	1723
754	5290	1716
755	5297	1709
756	5304	1702
757	5310	1695
758	5317	1688
759	5323	1680
760	5329	1673
761	5335	1666
762	5340	1658
763	5346	1651
764	5351	1644
765	5357	1636
766	5363	1629
767	5368	1621
768	5373	1614
769	5379	1606
770	5384	1599
771	5390	1591
772	5395	1584
773	5401	1577
774	5406	1569
775	5412	1562
776	5417	1554
777	5422	1547
778	5428	1540
779	5434	1532
780	5439	1525
781	5445	1517
782	5450	1510
783	5456	1503
784	5463	1496
785	5471	1489
786	5478	1482
787	5484	1475
788	5490	1468
789	5495	1460
790	5500	1453
791	5506	1446
792	5511	1438
793	5516	1431
794	5522	1423
795	5528	1416
796	5532	1409
797	5538	1401
798	5544	1394
799	5550	1387
800	5556	1380
801	5562	1373
802	5568	1366
803	5574	1358
804	5580	1351
805	5587	1344
806	5592	1337
807	5598	1330
808	5604	1323
809	5611	1316
810	5617	1309
811	5623	1301
812	5629	1294
813	5635	1287
814	5640	1280
815	5645	1273
816	5651	1265
817	5656	1258
818	5662	1251
819	5667	1244
820	5674	1237
821	5680	1230
822	5686	1222
823	5692	1215
824	5697	1208
825	5703	1201
826	5709	1194
827	5714	1187
828	5719	1179
829	5725	1172
830	5730	1165
831	5736	1158
832	5742	1151
833	5748	1144
834	5754	1137
835	5760	1130
836	5766	1122
837	5771	1115
838	5776	1108
839	5783	1101
840	5789	1094
841	5795	1087
842	5801	1080
843	5807	1073
844	5812	1066
845	5818	1059
846	5823	1051
847	5828	1044
848	5834	1037
849	5840	1030
850	5846	1023
851	5852	1016
852	5859	1009
853	5864	1002
854	5869	995
855	5875	988
856	5881	981
857	5888	974
858	5896	967
859	5905	961
860	5937	958
861	5951	952
862	5964	946
863	5972	940
864	5984	934
865	5996	927
866	6004	921
867	6012	914
868	6018	907
869	6024	900
870	6030	893
871	6036	886
872	6042	879
873	6048	871
874	6054	864
875	6060	857
876	6066	850
877	6072	843
878	6078	836
879	6084	829
880	6090	822
881	6096	815
882	6103	808
883	6109	801
884	6115	794
885	6121	787
886	6127	780
887	6133	773
888	6139	766
889	6146	759
890	6152	752
891	6158	745
892	6165	738
893	6174	732
894	6181	725
895	6192	718
896	6200	711
897	6208	705
898	6216	698
899	6224	691
900	6232	684
901	6239	677
902	6246	670
903	6252	663
904	6258	656
905	6264	649
906	6270	642
907	6276	635
908	6282	628
909	6288	621
910	6296	615
911	6303	608
912	6310	601
913	6316	594
914	6322	587
915	6328	580
916	6334	573
917	6340	566
918	6347	559
919	6355	552
920	6361	545
921	6441	544
922	6450	538
923	6467	531
924	6474	524
925	6482	518
926	6489	511
927	6496	504
928	6504	497
929	6511	490
930	6518	483
931	6526	476
932	6533	469
933	6540	462
934	6548	455
935	6555	448
936	6562	441
937	6568	434
938	6574	427
939	6581	420
940	6588	413
941	6596	406
942	6603	399
943	6610	392
944	6616	385
945	6623	378
946	6629	371
947	6636	364
948	6643	357
949	6649	349
950	6656	342
951	6663	335
952	6670	328
953	6676	321
954	6683	314
955	6690	307
956	6696	300
957	6703	293
958	6709	286
959	6716	279
960	6724	272
961	6729	265
962	6736	258
963	6742	251
964	6748	244
965	6753	237
966	6759	230
967	6764	223
968	6770	216
969	6775	209
970	6781	202
971	6786	195
972	6793	188
973	6799	181
974	6804	174
975	6809	167
976	6815	160
977	6820	153
978	6826	146
979	6831	139
980	6837	132
981	6843	125
982	6848	118
983	6854	111
984	6860	104
985	6865	97
986	6870	90
987	6875	83
988	6881	76
989	6887	69
990	6893	62
991	6899	55
992	6904	48
993	6909	41
994	6916	34
995	6922	27
996	6927	20
997	6933	13
998	6940	6
999	6945	0
